Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Image Src,SEO Title,SEO Description
starter-kit-costura,Starter Kit Costura,"<p>Kit principiante: hilo poliéster, agujas universales, marcador. Casos: poleras, reparaciones, pruebas en retazo. Cross-sell: tijeras y regla patchwork.</p>",Tiendas Lupe,Bundle,"bundle,principiante,insumos,costura,CLP",TRUE,Title,Default Title,SKU-ST-KIT,19990,24990,,Starter Kit Costura Chile | Tiendas Lupe,Kit inicio con hilo y agujas. Ideal principiantes. Envío Chile CLP.
kit-emprendimiento,Kit Emprendimiento,"<p>Pack emprendedor: hilos surtidos, tijeras, marcadores. Casos: producción pequeña lote, control de calidad, márgenes CLP. Cross-sell: elásticos y cierres.</p>",Tiendas Lupe,Bundle,"bundle,emprendedor,insumos,CLP",TRUE,Title,Default Title,SKU-EM-KIT,34990,42990,,Kit Emprendimiento Costura | Tiendas Lupe,Optimiza compras y calidad para vender más en Chile.
kit-taller,Kit Taller B2B,"<p>Selección taller: repuestos frecuentes, agujas industriales compatibles. Casos: líneas continuas, minimizar paradas. Cross-sell: aceite y piedra afilar.</p>",Tiendas Lupe,Bundle,"bundle,b2b,taller,repuestos,CLP",TRUE,Title,Default Title,SKU-TA-KIT,89990,109990,,Kit Taller Costura B2B | Tiendas Lupe,Reposición crítica para producción. Cotiza mayorista Lupe.
aguja-universal-80-12-caja,Aguja universal 80/12 (caja),"<p>Aguja 130/705H 80/12 para tejidos medios. Keywords: aguja universal, mezclilla liviana, Chile. Cross-sell: hilo 40/2 y descosedor.</p>",Tiendas Lupe,Repuestos,"aguja,80-12,maquina-casera,CLP",TRUE,Title,Default Title,SKU-AG-8012,4990,6990,,Aguja 80/12 universal | Tiendas Lupe,Aguja cabeza plana para telas medias. Compatible máquinas caseras.
aguja-stretch-90-14-caja,Aguja stretch 90/14 (caja),"<p>Punta bola 90/14 para elásticos y mezclilla. Keywords: aguja stretch, punta bola, overlock casera. Cross-sell: hilo stretch y elástico plano.</p>",Tiendas Lupe,Repuestos,"aguja,stretch,90-14,CLP",TRUE,Title,Default Title,SKU-AG-9014,6490,8490,,Aguja stretch 90/14 | Tiendas Lupe,Reduce saltos en telas elásticas. Stock Tiendas Lupe.
hilo-poliester-2000-cono-negro-lp,Hilo poliéster 2000 yd cono Negro,"<p>Hilo 40/2 alto rendimiento. Uso: confección, repaso, costura recta. Cross-sell: aguja 80/12 y cinta métrica.</p>",Lama,Hilo,"hilo,2000,poliester,negro,CLP",TRUE,Title,Default Title,SKU-HI-2K-N,590,690,,Hilo 2000 yardas negro | Tiendas Lupe,Hilo poliéster profesional. Despacho Chile.
tijeras-profesionales-23cm,Tijeras profesionales 23 cm,"<p>Corte confección y patchwork. Keywords: tijeras sastrería, emprendedor. Cross-sell: marcador y regla.</p>",Tiendas Lupe,Herramientas,"tijeras,corte,CLP",TRUE,Title,Default Title,SKU-TIJ-23,12990,15990,,Tijeras costura 23 cm | Tiendas Lupe,Afilado duradero para taller y emprendimiento.
cinta-metrica-soft-150,Cinta métrica soft 150 cm,"<p>Medición corporal y tela. Principiante friendly. Cross-sell: alfileres y regla patchwork.</p>",Tiendas Lupe,Herramientas,"metrica,medicion,CLP",TRUE,Title,Default Title,SKU-MET-150,2990,3990,,Cinta métrica 150 cm | Tiendas Lupe,Flexible para medir prendas y telas.
descosedor-mini-rojo,Descosedor mini,"<p>Abre costuras sin dañar tela. Keywords: descosedor, principiante. Cross-sell: aguja nueva tras descoser.</p>",Tiendas Lupe,Herramientas,"descosedor,mini,CLP",TRUE,Title,Default Title,SKU-DES-M,1990,2490,,Descosedor mini | Tiendas Lupe,Imprescindible en kit principiante.
alfileres-laton-28mm-250g,Alfileres latón 28 mm bolsa 250 g,"<p>Fijación temporal. Taller y emprendedor. Cross-sell: cinta métrica y tijeras.</p>",Tiendas Lupe,Insumos,"alfileres,laton,CLP",TRUE,Title,Default Title,SKU-ALF-250,8990,10990,,Alfileres costura 250g | Tiendas Lupe,Calidad consistente para producción.
elastico-plano-6mm-blanco-rollo,Elástico plano 6 mm blanco (rollo),"<p>Prendas deportivas y confección. Keywords: elástico plano, CLP. Cross-sell: aguja stretch.</p>",Tiendas Lupe,Insumos,"elastico,6mm,blanco,CLP",TRUE,Title,Default Title,SKU-ELA-6W,7990,9990,,Elástico plano 6 mm | Tiendas Lupe,Recuperación uniforme. Compatible aguja stretch.
cierre-nylon-20cm-negro,Cierre nylon 20 cm negro,"<p>Polerones y chaquetas. Cross-sell: prensatelas cremallera y hilo nylon.</p>",Tiendas Lupe,Insumos,"cierre,cremallera,20cm,CLP",TRUE,Title,Default Title,SKU-CIE-20N,2490,3190,,Cierre 20 cm nylon | Tiendas Lupe,Estándar confección diaria Chile.
hilo-overlock-cono-2500-negro-ind,Hilo overlock cono 2500 yd Negro industrial,"<p>Overlock y collareta. Keywords: hilo overlock, cono industrial. Cross-sell: aguja overlock.</p>",Lama,Hilo,"overlock,cono,2500,CLP",TRUE,Title,Default Title,SKU-HI-OV25K,8990,10990,,Hilo overlock 2500 yd | Tiendas Lupe,Alta velocidad sin exceso de pelusa.
aceite-maquina-singer-100ml,Aceite máquina 100 ml,"<p>Mantenimiento preventivo. Taller B2B. Cross-sell: piedra afilar y repuestos.</p>",Singer,Mantenimiento,"aceite,maquina,CLP",TRUE,Title,Default Title,SKU-ACE-100,3990,4990,,Aceite máquina coser 100 ml | Tiendas Lupe,Lubricación segura componentes móviles.
